natcountry,listener_region,listener_subregion
Ethiopia,Africa,Eastern Africa
Egypt,Africa,Northern Africa
Saudi Arabia,Middle East,Middle East
Morocco,Africa,Northern Africa
United Arab Emirates,Middle East,Middle East
Oman,Middle East,Middle East
Bangladesh,Asia,South Asia
India,Asia,South Asia
Czech Republic,Europe,Central Europe
Denmark,Europe,Scandinavia
Netherlands,Europe,Western Europe
Belgium,Europe,Western Europe
Singapore,Asia,Southeast Asia
New Zealand,Oceania,Polynesia
United Kingdom,Europe,British Isles
Australia,Oceania,Australia
Zambia,Africa,Southern Africa
Canada,North America,Arctic and Subarctic
South Africa,Africa,Southern Africa
Namibia,Africa,Southern Africa
Ghana,Africa,Western Africa
Philippines,Asia,Southeast Asia
Finland,Europe,Scandinavia
France,Europe,Western Europe
Cameroon,Africa,Western Africa
Burkina Faso,Africa,Western Africa
Benin,Africa,Western Africa
Austria,Europe,Central Europe
Greece,Europe,Southeastern Europe
Indonesia,Asia,Southeast Asia
Italy,Europe,Southern Europe
Japan,Asia,East Asia
South Korea,Asia,East Asia
Hong Kong,Asia,East Asia
China,Asia,East Asia
Norway,Europe,Scandinavia
Brazil,South America,Southern South America
Portugal,Europe,Southern Europe
Romania,Europe,Southeastern Europe
Russian Federation,Europe,Eastern Europe
Argentina,South America,Southern South America
Colombia,South America,Northwestern South America
Spain,Europe,Southern Europe
Mexico,Middle America and the Caribbean,Northern Mexico
Kenya,Africa,Eastern Africa
Turkey,Europe,Southeastern Europe
Ukraine,Europe,Eastern Europe
Pakistan,Asia,South Asia
Vietnam,Asia,Southeast Asia